speaker-name,number-of-lectures
'Reimer, Nils',1
'Binder, Arne',1
'Zweig, Katharina Anna',1
'Capsamun, Roman',1
'Eichfeldt, Nora',1
'Höps, Raphael',1
'Schweter, Stefan',1
'Stigler, Hubert',1
'Mehner, Caroline',1
'Lehmberg, Timm',1
'Wagner-Nagy, Beata',1
'Do Dinh, Erik-Lân',1
'Gerloff, Malte',1
'Núñez, Alexandra',1
'Hörmann, Richard',1
'Weiss, Romedius',1
'Meiners, Hanna-Lena',1
'Stotz, Sophia',1
'Alscher, Stefan',1
'Bender, Michael',1
'Vanscheidt, Philipp',1
'Pourtskhvanidze, Zakharia',1
'Bodomo, Adams',1
'Mörth, Karlheinz',1
'Mihm, Melanie',1
'Bögel, Thomas',1
'Meindl, Claudia',1
'Rausch, Alexandre',1
'Lengyel, Dominik',1
'Toulouse, Catherine',1
'Siemund, Melanie',1
'Neubauer, Susanne',1
'Geyken, Alexander',1
'Werneke, Thomas',1
'Strecker, Bernhard',1
'Recker-Hamm, Ute',1
'Schneider, Matthias',1
'Kaßner, Fabian',1
'Kischel, André',1
'Büttner, Andreas',1
'Greulich, Markus',1
'Oberthür, Simon',1
'Karthaus, Nicola',1
'Schmidt, Ariane',1
'Wilk, Nicole M.',1
'Stog, Kristina',1
'Ourednik, André',1
'Nellen, Stefan',1
'Fleer, Peter',1
'Kittelmann, Jana',1
'Wernhard, Christoph',1
'Goerz, Guenther',1
'McIsaac, Peter',1
'Jamin, Sugih',1
'Ibanez, Ines',1
'Singer, Oskar',1
'Bray, Benjamin',1
'Schlegel, Alexa',1
'Klawitter, Jana',1
'Wagner, Benno',1
'Biber, Hanno',1
'Fandrych, Christian',1
'Iliash, Anna',1
'Weigert, Kathrin',1
'Hentschel, Frank',1
'Strehl, Tino',1
'Gradmann, Stefan',1
'Hennicke, Steffen',1
'Tschumpel, Gerold',1
'Dill, Kristin',1
'Morbindoni, Christian',1
'Trevisan, Bianka',1
'Reimer, Eva',1
'Digmayer, Claas',1
'Ullrich, Anna Valentine',1
'Jakobs, Eva-Maria',1
'Butt, Miriam',1
'Holzinger, Katharina',1
'Schaal, Gary',1
'Dumm, Sebastian',1
'El-Assady, Mennatallah',1
'Gold, Valentin',1
'Hautli-Janisz, Annette',1
'Lemke, Matthias',1
'Müller, Maike',1
'Zimmermann, Heiko',1
'Breitenfeld, Andre',1
'Berndt, Axel, Dr.',1
'Schloots, Franziska',1
'Müller-Lietzkow, Jörg',1
'Müller, Lars',1
'Barbera, Roberto',1
'La Rocca, Guiseppe',1
'Calanducci, Antonio',1
'Kalman, Tibor',1
'Mikhaylova, Alena',1
'Hinrichs, Marie',1
'Coltekin, Cagri',1
'Valleriani, Matteo',1
'Lalli, Roberto',1
'Mueller, Mathias',1
'Dittrich, Andreas',1
'Waltl, Gilbert',1
'Csillag, Marlene',1
'Büttner, Stephan',1
'Heger, Martin',1
'Heinrich, Marcus',1
'Keller, Carolin',1
'Lehmann, Anna',1
'Meyer, Michaela',1
'Kösser, Sylwia',1
'Ellwardt, Andreas',1
'Hummerl, Susanne',1
